Latitude, Longitude, Altitude
5.5587783, 95.3158260, 14.8
5.5587907, 95.3158340, 14.3
5.5588031, 95.3158420, 14.4
5.5588150, 95.3158420, 14.6
5.5588231, 95.3158420, 14.0
5.5588350, 95.3158420, 12.4
5.5588450, 95.3158420, 12.2
5.5588570, 95.3158490, 11.9
5.5588675, 95.3158650, 12.2
5.5588799, 95.3158650, 13.0
5.5588894, 95.3158720, 13.7
5.5588984, 95.3158800, 14.3
5.5589032, 95.3158870, 14.7
5.5589132, 95.3158950, 15.2
5.5589242, 95.3158950, 15.4
5.5589361, 95.3158950, 15.7
5.5589480, 95.3158950, 16.9
5.5589609, 95.3158950, 15.9
5.5589767, 95.3158950, 14.4
5.5589886, 95.3158950, 13.7
5.5590014, 95.3158950, 12.9
5.5590119, 95.3158950, 12.8
5.5590234, 95.3158950, 13.0
5.5590343, 95.3159030, 12.5
5.5590510, 95.3159180, 11.7
5.5590634, 95.3159260, 11.1
5.5590734, 95.3159330, 11.1
5.5590854, 95.3159410, 10.9
5.5590944, 95.3159480, 11.2
5.5591044, 95.3159640, 10.7
5.5591159, 95.3159640, 10.8
5.5591245, 95.3159710, 10.4
5.5591354, 95.3159710, 9.5
5.5591464, 95.3159790, 9.2
5.5591540, 95.3159790, 8.7
5.5591617, 95.3159790, 8.1
5.5591722, 95.3159870, 7.6
5.5591841, 95.3159870, 7.4
5.5591960, 95.3159870, 7.5
5.5592070, 95.3159870, 8.0
5.5592194, 95.3159870, 8.1
5.5592284, 95.3159940, 8.3
5.5592318, 95.3160020, 8.5
5.5592322, 95.3160170, 8.2
5.5592351, 95.3160170, 7.6
5.5592351, 95.3160250, 7.5
5.5592327, 95.3160320, 7.2
5.5592284, 95.3160480, 7.0
5.5592246, 95.3160550, 6.5
